sample,bioproject,group,biosample,acc,fastq_1,fastq_2,fna
liang_392_enriched,PRJNA524703,liang_392,SAMN11031445,SRR8653190,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_392/liang_392_enriched/readdownload/SRR8653190_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_392/liang_392_enriched/readdownload/SRR8653190_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_392/liang_392_enriched/megahit/liang_392_enriched.contigs.fa.gz
liang_392_unenriched,PRJNA524703,liang_392,SAMN11031445,SRR9670927,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_392/liang_392_unenriched/readdownload/SRR9670927_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_392/liang_392_unenriched/readdownload/SRR9670927_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_392/liang_392_unenriched/megahit/liang_392_unenriched.contigs.fa.gz
liang_3334_enriched,PRJNA524703,liang_3334,SAMN11031279,SRR8653134,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3334/liang_3334_enriched/readdownload/SRR8653134_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3334/liang_3334_enriched/readdownload/SRR8653134_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3334/liang_3334_enriched/megahit/liang_3334_enriched.contigs.fa.gz
liang_3334_unenriched,PRJNA524703,liang_3334,SAMN11031279,SRR8653287,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3334/liang_3334_unenriched/readdownload/SRR8653287_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3334/liang_3334_unenriched/readdownload/SRR8653287_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3334/liang_3334_unenriched/megahit/liang_3334_unenriched.contigs.fa.gz
liang_3451_enriched,PRJNA524703,liang_3451,SAMN11031284,SRR8652956,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3451/liang_3451_enriched/readdownload/SRR8652956_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3451/liang_3451_enriched/readdownload/SRR8652956_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3451/liang_3451_enriched/megahit/liang_3451_enriched.contigs.fa.gz
liang_3451_unenriched,PRJNA524703,liang_3451,SAMN11031284,SRR8652859,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3451/liang_3451_unenriched/readdownload/SRR8652859_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3451/liang_3451_unenriched/readdownload/SRR8652859_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3451/liang_3451_unenriched/megahit/liang_3451_unenriched.contigs.fa.gz
liang_3454_enriched,PRJNA524703,liang_3454,SAMN11031285,SRR8653138,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3454/liang_3454_enriched/readdownload/SRR8653138_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3454/liang_3454_enriched/readdownload/SRR8653138_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3454/liang_3454_enriched/megahit/liang_3454_enriched.contigs.fa.gz
liang_3454_unenriched,PRJNA524703,liang_3454,SAMN11031285,SRR8653276,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3454/liang_3454_unenriched/readdownload/SRR8653276_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3454/liang_3454_unenriched/readdownload/SRR8653276_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3454/liang_3454_unenriched/megahit/liang_3454_unenriched.contigs.fa.gz
liang_3521_enriched,PRJNA524703,liang_3521,SAMN11031287,SRR8652941,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3521/liang_3521_enriched/readdownload/SRR8652941_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3521/liang_3521_enriched/readdownload/SRR8652941_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3521/liang_3521_enriched/megahit/liang_3521_enriched.contigs.fa.gz
liang_3521_unenriched,PRJNA524703,liang_3521,SAMN11031287,SRR8653214,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3521/liang_3521_unenriched/readdownload/SRR8653214_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3521/liang_3521_unenriched/readdownload/SRR8653214_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3521/liang_3521_unenriched/megahit/liang_3521_unenriched.contigs.fa.gz
liang_3594_enriched,PRJNA524703,liang_3594,SAMN11031294,SRR8652948,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3594/liang_3594_enriched/readdownload/SRR8652948_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3594/liang_3594_enriched/readdownload/SRR8652948_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3594/liang_3594_enriched/megahit/liang_3594_enriched.contigs.fa.gz
liang_3594_unenriched,PRJNA524703,liang_3594,SAMN11031294,SRR8653221,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3594/liang_3594_unenriched/readdownload/SRR8653221_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3594/liang_3594_unenriched/readdownload/SRR8653221_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3594/liang_3594_unenriched/megahit/liang_3594_unenriched.contigs.fa.gz
liang_3681_enriched,PRJNA524703,liang_3681,SAMN11031299,SRR8653082,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3681/liang_3681_enriched/readdownload/SRR8653082_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3681/liang_3681_enriched/readdownload/SRR8653082_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3681/liang_3681_enriched/megahit/liang_3681_enriched.contigs.fa.gz
liang_3681_unenriched,PRJNA524703,liang_3681,SAMN11031299,SRR8653249,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3681/liang_3681_unenriched/readdownload/SRR8653249_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3681/liang_3681_unenriched/readdownload/SRR8653249_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3681/liang_3681_unenriched/megahit/liang_3681_unenriched.contigs.fa.gz
liang_3734_enriched,PRJNA524703,liang_3734,SAMN11031303,SRR8653078,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3734/liang_3734_enriched/readdownload/SRR8653078_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3734/liang_3734_enriched/readdownload/SRR8653078_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3734/liang_3734_enriched/megahit/liang_3734_enriched.contigs.fa.gz
liang_3734_unenriched,PRJNA524703,liang_3734,SAMN11031303,SRR8653245,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3734/liang_3734_unenriched/readdownload/SRR8653245_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3734/liang_3734_unenriched/readdownload/SRR8653245_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3734/liang_3734_unenriched/megahit/liang_3734_unenriched.contigs.fa.gz
liang_3764_enriched,PRJNA524703,liang_3764,SAMN11031309,SRR8653236,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3764/liang_3764_enriched/readdownload/SRR8653236_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3764/liang_3764_enriched/readdownload/SRR8653236_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3764/liang_3764_enriched/megahit/liang_3764_enriched.contigs.fa.gz
liang_3764_unenriched,PRJNA524703,liang_3764,SAMN11031309,SRR8653090,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3764/liang_3764_unenriched/readdownload/SRR8653090_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3764/liang_3764_unenriched/readdownload/SRR8653090_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3764/liang_3764_unenriched/megahit/liang_3764_unenriched.contigs.fa.gz
liang_3854_enriched,PRJNA524703,liang_3854,SAMN11031312,SRR8653235,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3854/liang_3854_enriched/readdownload/SRR8653235_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3854/liang_3854_enriched/readdownload/SRR8653235_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3854/liang_3854_enriched/megahit/liang_3854_enriched.contigs.fa.gz
liang_3854_unenriched,PRJNA524703,liang_3854,SAMN11031312,SRR8653089,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3854/liang_3854_unenriched/readdownload/SRR8653089_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3854/liang_3854_unenriched/readdownload/SRR8653089_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3854/liang_3854_unenriched/megahit/liang_3854_unenriched.contigs.fa.gz
liang_3941_enriched,PRJNA524703,liang_3941,SAMN11031317,SRR8652882,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3941/liang_3941_enriched/readdownload/SRR8652882_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3941/liang_3941_enriched/readdownload/SRR8652882_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3941/liang_3941_enriched/megahit/liang_3941_enriched.contigs.fa.gz
liang_3941_unenriched,PRJNA524703,liang_3941,SAMN11031317,SRR8652913,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3941/liang_3941_unenriched/readdownload/SRR8652913_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3941/liang_3941_unenriched/readdownload/SRR8652913_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3941/liang_3941_unenriched/megahit/liang_3941_unenriched.contigs.fa.gz
liang_3944_enriched,PRJNA524703,liang_3944,SAMN11031318,SRR8652881,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3944/liang_3944_enriched/readdownload/SRR8652881_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3944/liang_3944_enriched/readdownload/SRR8652881_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3944/liang_3944_enriched/megahit/liang_3944_enriched.contigs.fa.gz
liang_3944_unenriched,PRJNA524703,liang_3944,SAMN11031318,SRR8652914,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3944/liang_3944_unenriched/readdownload/SRR8652914_R1.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3944/liang_3944_unenriched/readdownload/SRR8652914_R2.deacon.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/CFPhageome/repos/uhvdb-manuscript/figure_4/activity_profiling/results/uhvdb/assemble/prjna524703/liang_3944/liang_3944_unenriched/megahit/liang_3944_unenriched.contigs.fa.gz
