sample,bioproject,group,biosample,acc,fastq_1,fastq_2,coassembly_group
L12099,lipuma_aim2,L12099,L12099,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L12099/L12099_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L12099/L12099_2.merged.fastq.gz,L12
L12129,lipuma_aim2,L12129,L12129,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L12129/L12129_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L12129/L12129_2.merged.fastq.gz,L12
L12159,lipuma_aim2,L12159,L12159,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L12159/L12159_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L12159/L12159_2.merged.fastq.gz,L12
L12188,lipuma_aim2,L12188,L12188,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L12188/L12188_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L12188/L12188_2.merged.fastq.gz,L12
L12219,lipuma_aim2,L12219,L12219,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L12219/L12219_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L12219/L12219_2.merged.fastq.gz,L12
L12249,lipuma_aim2,L12249,L12249,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L12249/L12249_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L12249/L12249_2.merged.fastq.gz,L12
L12279,lipuma_aim2,L12279,L12279,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L12279/L12279_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L12279/L12279_2.merged.fastq.gz,L12
L13002,lipuma_aim2,L13002,L13002,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13002/L13002_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13002/L13002_2.merged.fastq.gz,L13
L13032,lipuma_aim2,L13032,L13032,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13032/L13032_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13032/L13032_2.merged.fastq.gz,L13
L13062,lipuma_aim2,L13062,L13062,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13062/L13062_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13062/L13062_2.merged.fastq.gz,L13
L13092,lipuma_aim2,L13092,L13092,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13092/L13092_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13092/L13092_2.merged.fastq.gz,L13
L13122,lipuma_aim2,L13122,L13122,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13122/L13122_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13122/L13122_2.merged.fastq.gz,L13
L13152,lipuma_aim2,L13152,L13152,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13152/L13152_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13152/L13152_2.merged.fastq.gz,L13
L13182,lipuma_aim2,L13182,L13182,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13182/L13182_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13182/L13182_2.merged.fastq.gz,L13
L13211,lipuma_aim2,L13211,L13211,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13211/L13211_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13211/L13211_2.merged.fastq.gz,L13
L13242,lipuma_aim2,L13242,L13242,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13242/L13242_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13242/L13242_2.merged.fastq.gz,L13
L13272,lipuma_aim2,L13272,L13272,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13272/L13272_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13272/L13272_2.merged.fastq.gz,L13
L13302,lipuma_aim2,L13302,L13302,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13302/L13302_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13302/L13302_2.merged.fastq.gz,L13
L13332,lipuma_aim2,L13332,L13332,,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13332/L13332_1.merged.fastq.gz,/mmfs1/gscratch/pedslabs_hoffman/carsonjm/projects/cf_phageome_analyses/longitudinal_phageomes/results/cat_fastq_runmerge/L13332/L13332_2.merged.fastq.gz,L13
