bioproject,acc,biosample,consent,releasedate,librarysource,libraryselection,librarylayout,platform,instrument,organism,mbases,avgspotlen,assay_type,group,sample
PRJNA1140720,SRR33526678,SAMN48435289,public,2025-07-07,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9855,299,WGS,SAMN48435289,SRR33526678
PRJNA1268045,SRR33701102,SAMN48742036,public,2025-05-26,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,6788,302,WGS,SAMN48742036,SRR33701102
PRJEB63587,ERR13074142,SAMEA115576726,public,2025-06-28,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,unspecified,human gut metagenome,5004,300,OTHER,SAMEA115576726,ERR13074142
PRJNA1169674,SRR34587162,SAMN47504813,public,2025-07-19,METAGENOMIC,size fractionation,PAIRED,ILLUMINA,Illumina NovaSeq X,human gut metagenome,7601,300,WGS,SAMN47504813,SRR34587162
PRJNA1133690,SRR29825779,SAMN42383750,public,2025-05-31,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9512,302,WGS,SAMN42383750,SRR29825779
PRJEB76399,ERR13252908,SAMEA115716324,public,2025-05-23,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human feces metagenome,9866,300,OTHER,SAMEA115716324,ERR13252908
PRJEB76399,ERR13254227,SAMEA115716255,public,2025-05-23,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human feces metagenome,9811,300,OTHER,SAMEA115716255,ERR13254227
PRJNA1221235,SRR32277432,SAMN46734887,public,2025-07-16,GENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 2000,human gut metagenome,9718,302,WGS,SAMN46734887,SRR32277432
PRJNA1259152,SRR33441915,SAMN48353750,public,2025-06-11,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9859,286,WGS,SAMN48353750,SRR33441915
PRJNA1099775,SRR33424143,SAMN48325214,public,2025-05-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,2333,282,WGS,SAMN48325214,SRR33424143
PRJNA1259152,SRR33442657,SAMN48354553,public,2025-06-11,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9791,285,WGS,SAMN48354553,SRR33442657
PRJEB89837,ERR15009342,SAMEA118350923,public,2025-06-20,METAGENOMIC,unspecified,PAIRED,ILLUMINA,NextSeq 2000,human gut metagenome,4429,300,WGS,SAMEA118350923,ERR15009342
PRJNA1120650,SRR29709846,SAMN41705787,public,2025-06-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina MiSeq,human gut metagenome,9767,302,WGS,SAMN41705787,SRR29709846
PRJNA1140720,SRR33526932,SAMN48435311,public,2025-07-07,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9826,298,WGS,SAMN48435311,SRR33526932
PRJEB76399,ERR13258358,SAMEA115716325,public,2025-05-23,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human feces metagenome,9885,300,OTHER,SAMEA115716325,ERR13258358
PRJEB76665,ERR13324453,SAMEA115779106,public,2025-05-16,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000,human gut metagenome,8562,243,WGS,SAMEA115779106,ERR13324453
PRJNA1273620,SRR33880681,SAMN48951781,public,2025-06-09,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human gut metagenome,7834,496,WGS,SAMN48951781,SRR33880681
PRJNA1269031,SRR33735420,SAMN48774457,public,2025-05-28,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human gut metagenome,1442,293,WGS,SAMN48774457,SRR33735420
PRJNA1210004,SRR31985932,SAMN09656926,public,2025-05-03,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,5161,263,WGS,SAMN09656926,SRR31985932
PRJNA1269031,SRR33735382,SAMN48774303,public,2025-05-28,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human gut metagenome,1507,294,WGS,SAMN48774303,SRR33735382
PRJNA1125469,SRR32138707,SAMN46385582,public,2025-05-07,METAGENOMIC,size fractionation,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9238,295,WGS,SAMN46385582,SRR32138707
PRJNA681337,SRR13172269,SAMN16949513,public,2025-07-03,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,6169,287,WGS,SAMN16949513,SRR13172269
PRJDB18854,DRR597706,SAMD00608496,public,2025-05-09,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9744,299,WGS,SAMD00608496,DRR597706
PRJNA486009,SRR24204188,SAMN34233854,public,2025-06-04,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2000,human gut metagenome,3603,273,WGS,SAMN34233854,SRR24204188
PRJNA1045596,SRR34539815,SAMN49972105,public,2025-07-15,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human gut metagenome,5972,222,WGS,SAMN49972105,SRR34539815
PRJNA1227883,SRR33842717,SAMN47606215,public,2025-06-05,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human gut metagenome,9782,292,WGS,SAMN47606215,SRR33842717
PRJDB18359,DRR576658,SAMD00797386,public,2025-06-16,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9819,298,WGS,SAMD00797386,DRR576658
PRJNA1287223,SRR34389166,SAMN49814640,public,2025-07-06,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X Plus,human gut metagenome,9828,277,WGS,SAMN49814640,SRR34389166
PRJNA1169674,SRR34587184,SAMN47504803,public,2025-07-19,METAGENOMIC,size fractionation,PAIRED,ILLUMINA,Illumina NovaSeq X,human gut metagenome,8377,300,WGS,SAMN47504803,SRR34587184
PRJNA1273620,SRR33880801,SAMN48951516,public,2025-06-09,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human gut metagenome,7486,496,WGS,SAMN48951516,SRR33880801
PRJNA681337,SRR13172267,SAMN16949514,public,2025-07-03,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,5638,293,WGS,SAMN16949514,SRR13172267
PRJNA1120650,SRR29709797,SAMN41705832,public,2025-06-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina MiSeq,human gut metagenome,9836,302,WGS,SAMN41705832,SRR29709797
PRJNA1257550,SRR33512503,SAMN48325003,public,2025-05-15,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9988,292,WGS,SAMN48325003,SRR33512503
PRJNA1214038,SRR32075411,SAMN46356898,public,2025-06-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 2000,human gut metagenome,2585,297,WGS,SAMN46356898,SRR32075411
PRJNA1132291,SRR29718508,SAMN42339501,public,2025-06-02,METATRANSCRIPTOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 2500,human gut metagenome,9599,249,RNA-Seq,SAMN42339501,SRR29718508
PRJNA1268044,SRR33701542,SAMN48741921,public,2025-05-27,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9984,295,WGS,SAMN48741921,SRR33701542
PRJNA1274164,SRR33963773,SAMN49039713,public,2025-06-13,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9312,293,WGS,SAMN49039713,SRR33963773
PRJNA1221235,SRR32277413,SAMN46734926,public,2025-07-16,GENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 2000,human gut metagenome,9765,302,WGS,SAMN46734926,SRR32277413
PRJNA1224809,SRR32373071,SAMN46867738,public,2025-05-13,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human gut metagenome,9920,302,WGS,SAMN46867738,SRR32373071
PRJEB90858,ERR15143231,SAMEA118585195,public,2025-07-15,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 2000,human feces metagenome,9124,189,OTHER,SAMEA118585195,ERR15143231
