bioproject,acc,biosample,consent,releasedate,librarysource,libraryselection,librarylayout,platform,instrument,organism,mbases,avgspotlen,assay_type,group,sample
PRJEB34536,ERR4421552,SAMEA7130436,public,2020-08-08,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human vaginal metagenome,2485,302,OTHER,SAMEA7130436,ERR4421552
PRJNA700071,SRR13740715,SAMN17964505,public,2022-01-17,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,NextSeq 500,human urinary tract metagenome,3867,274,WGS,SAMN17964505,SRR13740715
PRJNA208535,SRR19067268,SAMN28057828,public,2023-05-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000,human vaginal metagenome,9175,278,WGS,SAMN28057828,SRR19067268
PRJNA971360,SRR24561340,SAMN35029235,public,2023-05-17,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,HiSeq X Ten,human vaginal metagenome,8593,300,WGS,SAMN35029235,SRR24561340
PRJEB34744,ERR3596482,SAMEA6084778,public,2019-11-02,METAGENOMIC,unspecified,PAIRED,ILLUMINA,Illumina MiSeq,human vaginal metagenome,3433,302,WGS,SAMEA6084778,ERR3596482
PRJNA1086504,SRR28292444,SAMN40379099,public,2024-03-13,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000,human vaginal metagenome,2338,149,WGS,SAMN40379099,SRR28292444
PRJNA1179925,SRR31166470,SAMN44509343,public,2024-10-30,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,9605,302,WGS,SAMN44509343,SRR31166470
PRJNA1086504,SRR28292461,SAMN40379039,public,2024-03-13,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000,human vaginal metagenome,1527,149,WGS,SAMN40379039,SRR28292461
PRJNA1086504,SRR28292434,SAMN40379108,public,2024-03-13,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina HiSeq 4000,human vaginal metagenome,1463,149,WGS,SAMN40379108,SRR28292434
PRJNA1179925,SRR31166160,SAMN44509564,public,2024-10-30,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,9883,302,WGS,SAMN44509564,SRR31166160
PRJNA881266,SRR21604189,SAMN30889836,public,2022-10-03,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,8514,302,WGA,SAMN30889836,SRR21604189
PRJNA576566,SRR11749273,SAMN14859600,public,2020-05-31,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,HiSeq X Ten,human vaginal metagenome,9856,300,WGS,SAMN14859600,SRR11749273
PRJNA1179925,SRR31166205,SAMN44509437,public,2024-10-30,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,9777,302,WGS,SAMN44509437,SRR31166205
PRJNA1179925,SRR31166316,SAMN44509596,public,2024-10-30,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,9641,302,WGS,SAMN44509596,SRR31166316
PRJNA797778,SRR17858165,SAMN25037499,public,2022-02-16,METATRANSCRIPTOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,9747,283,RNA-Seq,SAMN25037499,SRR17858165
PRJEB64671,ERR11779695,SAMEA114222691,public,2024-07-21,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,7267,296,WGS,SAMEA114222691,ERR11779695
PRJNA882412,SRR21663179,SAMN30934396,public,2022-10-13,GENOMIC,unspecified,PAIRED,ILLUMINA,Illumina HiSeq 4000,human vaginal metagenome,7873,200,WXS,SAMN30934396,SRR21663179
PRJNA971360,SRR24561326,SAMN35029248,public,2023-05-17,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,HiSeq X Ten,human vaginal metagenome,8196,300,WGS,SAMN35029248,SRR24561326
PRJEB34744,ERR3596485,SAMEA6084781,public,2019-11-02,METAGENOMIC,unspecified,PAIRED,ILLUMINA,Illumina MiSeq,human vaginal metagenome,2336,302,WGS,SAMEA6084781,ERR3596485
PRJNA1091563,SRR28475153,SAMN40597767,public,2024-03-27,METATRANSCRIPTOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human urinary tract metagenome,3573,101,OTHER,SAMN40597767,SRR28475153
PRJNA882412,SRR21663072,SAMN30934374,public,2022-10-13,GENOMIC,unspecified,PAIRED,ILLUMINA,Illumina HiSeq 4000,human vaginal metagenome,9407,200,WXS,SAMN30934374,SRR21663072
PRJNA882412,SRR21663185,SAMN30934395,public,2022-10-13,GENOMIC,unspecified,PAIRED,ILLUMINA,Illumina HiSeq 4000,human vaginal metagenome,8309,200,WXS,SAMN30934395,SRR21663185
PRJNA971360,SRR24561304,SAMN35029232,public,2023-05-17,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,HiSeq X Ten,human vaginal metagenome,9524,300,WGS,SAMN35029232,SRR24561304
PRJNA576566,SRR11749291,SAMN14859610,public,2020-05-31,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,HiSeq X Ten,human vaginal metagenome,8862,300,WGS,SAMN14859610,SRR11749291
PRJNA798061,SRR26038942,SAMN37358813,public,2024-01-29,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human vaginal metagenome,8838,291,WGS,SAMN37358813,SRR26038942
