bioproject,acc,biosample,consent,releasedate,librarysource,libraryselection,librarylayout,platform,instrument,organism,mbases,avgspotlen,assay_type,group,sample
PRJDB20343,DRR658776,SAMD00889242,public,2025-05-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X,human oral metagenome,6142,299,WGS,SAMD00889242,DRR658776
PRJEB79944,ERR15003960,SAMEA118336162,public,2025-05-21,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,5765,289,WGS,SAMEA118336162,ERR15003960
PRJEB74139,ERR12814934,SAMEA115430606,public,2025-05-02,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,8916,300,WGS,SAMEA115430606,ERR12814934
PRJNA698366,SRR29257929,SAMN41640345,public,2025-06-30,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human nasopharyngeal metagenome,1059,297,WGS,SAMN41640345,SRR29257929
PRJEB79944,ERR15003757,SAMEA118335959,public,2025-05-22,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,6067,289,WGS,SAMEA118335959,ERR15003757
PRJNA1268909,SRR33730235,SAMN48767602,public,2025-05-28,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X Plus,human oral metagenome,3196,249,WGS,SAMN48767602,SRR33730235
PRJDB20343,DRR658778,SAMD00889244,public,2025-05-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X,human oral metagenome,6228,299,WGS,SAMD00889244,DRR658778
PRJEB79944,ERR15003785,SAMEA118335987,public,2025-05-21,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,4947,290,WGS,SAMEA118335987,ERR15003785
PRJEB74139,ERR12814946,SAMEA115430612,public,2025-05-02,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,9311,300,WGS,SAMEA115430612,ERR12814946
PRJNA698366,SRR29257893,SAMN41640507,public,2025-06-30,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human nasopharyngeal metagenome,1660,293,WGS,SAMN41640507,SRR29257893
PRJNA1129267,SRR29646164,SAMN42148618,public,2025-06-21,TRANSCRIPTOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,4389,302,RNA-Seq,SAMN42148618,SRR29646164
PRJDB20343,DRR658769,SAMD00889235,public,2025-05-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X,human oral metagenome,6272,297,WGS,SAMD00889235,DRR658769
PRJEB74139,ERR12814930,SAMEA115430603,public,2025-05-02,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,8998,300,WGS,SAMEA115430603,ERR12814930
PRJNA698366,SRR29258115,SAMN41640384,public,2025-06-30,METAGENOMIC,RANDOM PCR,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human nasopharyngeal metagenome,1166,292,WGS,SAMN41640384,SRR29258115
PRJDB20343,DRR658759,SAMD00889225,public,2025-05-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X,human oral metagenome,4104,299,WGS,SAMD00889225,DRR658759
PRJNA1129267,SRR29646175,SAMN42148620,public,2025-06-21,TRANSCRIPTOMIC,other,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,3958,302,RNA-Seq,SAMN42148620,SRR29646175
PRJNA1268909,SRR33730205,SAMN48767629,public,2025-05-28,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X Plus,human oral metagenome,3800,255,WGS,SAMN48767629,SRR33730205
PRJNA1268909,SRR33730246,SAMN48767592,public,2025-05-28,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X Plus,human oral metagenome,3616,275,WGS,SAMN48767592,SRR33730246
PRJDB20343,DRR658755,SAMD00889221,public,2025-05-01,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X,human oral metagenome,8781,299,WGS,SAMD00889221,DRR658755
PRJEB79944,ERR15003953,SAMEA118336155,public,2025-05-21,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,7655,292,WGS,SAMEA118336155,ERR15003953
PRJEB79944,ERR15003765,SAMEA118335967,public,2025-05-21,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq 6000,human oral metagenome,5048,291,WGS,SAMEA118335967,ERR15003765
PRJNA1268909,SRR33730219,SAMN48767616,public,2025-05-28,METAGENOMIC,RANDOM,PAIRED,ILLUMINA,Illumina NovaSeq X Plus,human oral metagenome,6119,241,WGS,SAMN48767616,SRR33730219
