sample,bioproject,group,biosample,acc,fastq_1,fastq_2
SAMN11310285_SRR8834108_cf,prjna530252,SRR8834108,SAMN11310285,SRR8834108,,
SAMN11310305_SRR8834129_cf,prjna530252,SRR8834129,SAMN11310305,SRR8834129,,
SAMN11310290_SRR8834113_cf,prjna530252,SRR8834113,SAMN11310290,SRR8834113,,
SAMN11310262_SRR8834084_cf,prjna530252,SRR8834084,SAMN11310262,SRR8834084,,
SAMN11310279_SRR8834102_cf,prjna530252,SRR8834102,SAMN11310279,SRR8834102,,
SAMN11310347_SRR8834173_cf,prjna530252,SRR8834173,SAMN11310347,SRR8834173,,
SAMN11310217_SRR8834038_cf,prjna530252,SRR8834038,SAMN11310217,SRR8834038,,
SAMN11310275_SRR8834098_cf,prjna530252,SRR8834098,SAMN11310275,SRR8834098,,
SAMN11310359_SRR8834185_cf,prjna530252,SRR8834185,SAMN11310359,SRR8834185,,
SAMN11310324_SRR8834149_cf,prjna530252,SRR8834149,SAMN11310324,SRR8834149,,
SAMN11310333_SRR8834159_cf,prjna530252,SRR8834159,SAMN11310333,SRR8834159,,
SAMN11310328_SRR8834154_cf,prjna530252,SRR8834154,SAMN11310328,SRR8834154,,
SAMN11310233_SRR8834054_cf,prjna530252,SRR8834054,SAMN11310233,SRR8834054,,
SAMN11310286_SRR8834109_cf,prjna530252,SRR8834109,SAMN11310286,SRR8834109,,
SAMN11310225_SRR8834046_cf,prjna530252,SRR8834046,SAMN11310225,SRR8834046,,
SAMN11310249_SRR8834070_cf,prjna530252,SRR8834070,SAMN11310249,SRR8834070,,
SAMN11310228_SRR8834049_cf,prjna530252,SRR8834049,SAMN11310228,SRR8834049,,
SAMN11310215_SRR8834036_cf,prjna530252,SRR8834036,SAMN11310215,SRR8834036,,
SAMN11310273_SRR8834096_cf,prjna530252,SRR8834096,SAMN11310273,SRR8834096,,
SAMN11310291_SRR8834114_cf,prjna530252,SRR8834114,SAMN11310291,SRR8834114,,
SAMN11310319_SRR8834144_cf,prjna530252,SRR8834144,SAMN11310319,SRR8834144,,
SAMN11310271_SRR8834093_cf,prjna530252,SRR8834093,SAMN11310271,SRR8834093,,
SAMN11310222_SRR8834043_cf,prjna530252,SRR8834043,SAMN11310222,SRR8834043,,
SAMN11310282_SRR8834105_cf,prjna530252,SRR8834105,SAMN11310282,SRR8834105,,
SAMN11310364_SRR8834190_cf,prjna530252,SRR8834190,SAMN11310364,SRR8834190,,
SAMN11310312_SRR8834137_cf,prjna530252,SRR8834137,SAMN11310312,SRR8834137,,
SAMN11310342_SRR8834168_cf,prjna530252,SRR8834168,SAMN11310342,SRR8834168,,
SAMN11310297_SRR8834121_cf,prjna530252,SRR8834121,SAMN11310297,SRR8834121,,
SAMN11310339_SRR8834165_cf,prjna530252,SRR8834165,SAMN11310339,SRR8834165,,
SAMN11310292_SRR8834116_cf,prjna530252,SRR8834116,SAMN11310292,SRR8834116,,
SAMN11310209_SRR8834030_cf,prjna530252,SRR8834030,SAMN11310209,SRR8834030,,
SAMN11310340_SRR8834166_cf,prjna530252,SRR8834166,SAMN11310340,SRR8834166,,
SAMN11310309_SRR8834133_cf,prjna530252,SRR8834133,SAMN11310309,SRR8834133,,
SAMN11310227_SRR8834048_cf,prjna530252,SRR8834048,SAMN11310227,SRR8834048,,
SAMN11310356_SRR8834182_cf,prjna530252,SRR8834182,SAMN11310356,SRR8834182,,
SAMN11310276_SRR8834099_cf,prjna530252,SRR8834099,SAMN11310276,SRR8834099,,
SAMN11310247_SRR8834068_cf,prjna530252,SRR8834068,SAMN11310247,SRR8834068,,
SAMN11310230_SRR8834051_cf,prjna530252,SRR8834051,SAMN11310230,SRR8834051,,
SAMN11310296_SRR8834120_cf,prjna530252,SRR8834120,SAMN11310296,SRR8834120,,
SAMN11310325_SRR8834150_cf,prjna530252,SRR8834150,SAMN11310325,SRR8834150,,
SAMN11310212_SRR8834033_cf,prjna530252,SRR8834033,SAMN11310212,SRR8834033,,
SAMN11310321_SRR8834146_cf,prjna530252,SRR8834146,SAMN11310321,SRR8834146,,
SAMN11310254_SRR8834075_cf,prjna530252,SRR8834075,SAMN11310254,SRR8834075,,
SAMN11310327_SRR8834152_cf,prjna530252,SRR8834152,SAMN11310327,SRR8834152,,
SAMN11310329_SRR8834155_cf,prjna530252,SRR8834155,SAMN11310329,SRR8834155,,
SAMN11310213_SRR8834034_cf,prjna530252,SRR8834034,SAMN11310213,SRR8834034,,
SAMN11310330_SRR8834156_cf,prjna530252,SRR8834156,SAMN11310330,SRR8834156,,
SAMN11310252_SRR8834073_cf,prjna530252,SRR8834073,SAMN11310252,SRR8834073,,
SAMN11310304_SRR8834128_cf,prjna530252,SRR8834128,SAMN11310304,SRR8834128,,
SAMN11310313_SRR8834138_cf,prjna530252,SRR8834138,SAMN11310313,SRR8834138,,
SAMN11310272_SRR8834094_cf,prjna530252,SRR8834094,SAMN11310272,SRR8834094,,
SAMN11310218_SRR8834039_cf,prjna530252,SRR8834039,SAMN11310218,SRR8834039,,
SAMN11310244_SRR8834065_cf,prjna530252,SRR8834065,SAMN11310244,SRR8834065,,
SAMN11310269_SRR8834091_cf,prjna530252,SRR8834091,SAMN11310269,SRR8834091,,
SAMN11310295_SRR8834119_cf,prjna530252,SRR8834119,SAMN11310295,SRR8834119,,
